title,description,points,price
Bouvet-Ladubay NV Excellence Brut Chenin Blanc-Chardonnay (Crémant de Loire),A ripe wine that shows strong flavors of Chenin Blanc in the ...,89,$17
Brüder Dr. Becker 2011 Traditionelle Flaschengärung Deutscher Sekt Extra Trocken Scheurebe (Rheinhessen),"Delicate sugar-cookie notes abound throughout this biodynamic Riesling sparkler. Blossomy and fresh, ...",90,$23
Librandi 2011 Gravello Red (Val di Neto),"A blend of 60% Gaglioppo and 40% Cabernet Sauvignon, this polished red ...",89,$30
Peter Zemmer 2013 Schiava Gentile Schiava (Alto Adige),This intensely fragrant wine leads with aromas of red currant and violet. ...,89,$17
Quinta de Chocapalha 2013 Branco White (Lisboa),"Viosinho, more often found in the Douro, dominates this ripe and full-bodied ...",89,$15
Dona Maria-Júlio Bastos 2016 Rosé (Alentejano),"This bright, fruity wine is crisp with acidity from the red-currant flavors. ...",84,$15
Adega Vila Real 2016 Reserva White (Douro),"This oak-aged blend of Malvasia, Fernão Pires and Viosinho is soft with ...",84,$12
Pasquale Pelissero 2011 La Ferma Freisa (Langhe),"Made from the grape of the same name, this Freisa from Piedmont ...",87,$22
Château d'Ollières 2015 Haut du Pigeonnier White (Coteaux Varois),This wood-aged blend of Rolle and Ugni Blanc comes from selected parcels ...,91,$39
Château Sainte Marguerite 2015 Symphony Rosé (Côtes de Provence La Londe),"This is a soft, pepper and red-fruit-flavored wine. Crisp acidity is well ...",91,$29
Château du Galoupet 2015 Rosé (Côtes de Provence),"One of the cru classé estates of Côtes de Provence, Galoupet goes ...",91,$45
Cusumano 2010 Angimbé White (Sicilia),"Angimbé is a versatile and food-friendly blend of Insolia and Chardonnay, with ...",87,$17
Bowtie 2010 Showtime White (California),"This tastes honey-sweet, with apricot, lime and vanilla flavors, brightened by crisp ...",84,$14
Volver 2016 Tarima Blanco White (Alicante),"Pungent aromas of cactus and sweaty citrus suggest Sauvignon Blanc or Verdejo, ...",84,$9
La Zorra 2014 Teso Blanco White (Sierra de Salamanca),"Bready, oxidized aromas are imprecise and lacking in fruit. This is a ...",84,$22
Black Hills 2012 Nota Bene Red (Okanagan Valley),"This is the winery''s superstar Bordeaux-style blend, and one of the defining ...",92,$60
Lagler 2013 Spitzer 1000-Eimerberg Smaragd Neuburger (Wachau),"Breezy, zesty stoniness is overlaid with lemon freshness, suggesting a slender wine. ...",92,$30
Arndorfer 2013 Von Den Terrassen 1979 Roter Veltliner (Niederösterreich),"Peaches, red apples and a spray of fresh citrus come together on ...",91,$52
Fulkerson 2016 Estate Muskat Ottonel (Finger Lakes),Fresh stone fruit and apple notes have an earthy undertone in this ...,85,$20
Mas d'en Gil 2012 Como Blanca White (Priorat),Aromas of pear and cured meat are oxidized but also a touch ...,85,
Vignerons de Buxy 2015 Buissonnier  (Coteaux Bourguignons),This blend of Gamay and Pinot Noir is soft and ripe with ...,85,$15
Viñas del Vero 2015 La Miranda Secastilla Garnacha Blanca (Somontano),"Waxy pear and apple aromas lead to a lean, acidic palate. This ...",85,$15
Heiss 2010 Trockenbeerenaulese Sämling (Neusiedlersee),Ripe oranges notes give a very fruity character to this balanced wine. ...,91,
Rivera 2009 Puer Apuliae Nero di Troia (Castel del Monte),"This more structured, concentrated version of Nero di Troia opens with aromas ...",90,$60
St. Hubertus 2013 Chasselas (Okanagan Valley),This crisp Swiss white grape is rarely seen in the U.S. and ...,90,$20
Alain Brumont 2010 Château Montus Blanc  (Pacherenc du Vic Bilh),"This blend of Petit Manseng and Petit Courbu is dry, although the ...",90,
G. H. Mumm NV RSRV Maison Mumm Cuvée 4+5 Brut  (Champagne),This blend brings together all five of the main regions that supply ...,94,$75
Raccaro 2015 Rolat Friulano (Collio),"Fresh, elegant and well structured, this gorgeous white offers heady aromas of ...",93,$30
La Fleur Ribeyrolles 2015  Entre-Deux-Mers,It is the high proportion of perfumed Sauvignon Gris in this wine ...,86,$13
Apátsági 2013 Somlói Hárslevelü (Hungary),"This dry white has apricot, peach and white floral scents and lemon ...",90,$26
Casa de Vilacetinho 2016 Avesso & Loureiro White (Vinho Verde),"This wine, one in a series featuring the Avesso grape, is a ...",90,$13
Domaine D'en Ségur 2010 Merlot/Duras Red (Côtes du Tarn),"A ripe, rich and deliciously spicy wine, it has a light touch ...",87,$13
Vincent Lataste 2010 Chevalier du Grand Loc Red (Côtes de Duras),"A fruity, lightly tannic blend that comes from a region just to ...",86,$10
Pisoni 2012 Nosiola (Vigneti delle Dolomiti),"Delicate aromas of hazelnut, lemon zest and a whiff of subtle mineral ...",86,$20
Proulx 2013 Merveille Red (Paso Robles),"A nontraditional blend of 35% Zinfandel, 31% Merlot, 17% Grenache and 17% ...",89,$42
Gimenez Mendez 2015 Las Brujas Red (Canelones),"Inky purple in color, with herbal, minty, toasty berry aromas that suggest ...",87,$22
Tbilvino 2014 Georgian Valleys Alazani Valley Rkatsiteli (Kakheti),"Deep straw in color, this semi-sweet wine made from an indigenous Georgian ...",87,$12
Balduzzi 2013 Grand Reserve Red (Maule Valley),"Herbal berry aromas are dry and foresty, much like Loire Valley Cabernet ...",87,$18
Cave de Bissey NV Brut  (Crémant de Bourgogne),"A blend that includes Aligoté along with the traditional Champagne grapes, this ...",87,$20
Kössler 2015 Lagrein (Alto Adige),This 100% Lagrein opens with aromas of blackberry and exotic spice. The ...,89,$24
Lionel Osmin & Cie 2015 Euskal Egun White (Irrouléguy),"From this small enclave in the foothills of the Basque Pyrenees, this ...",89,$35
Samuel Tinon 2015 Határi Dry Furmint (Tokaj),"Hailing from the hilltop Határi vineyard, this wine has a delightful aroma ...",89,$37
San Juan Vineyards 2006 Siegerrebe (Puget Sound),"Light and tart, mixing grapefruit, lychee, mineral and floral aromas, all evident ...",84,$15
Fanucchi 2005 Wood Road Vineyard Trousseau Gris (Russian River Valley),Smells honeyed and tastes like one of those fruity bottled sodas. It's ...,84,$19
Chateau Morrisette NV Liberty Service Dog Red Red (Virginia),"Made from three of the prominent grapes grown in Virginia—Chambourcin, Cabernet Franc ...",84,$12
Estate Biblia Chora 2008 Areti Agiorgitiko (Pangeon),"This expressive red starts with aromas of raspberry, sour cherry and vanilla, ...",88,$29
Bodegas Paniza 2015 Sleever Garnacha Rosé (Cariñena),"Packed in a pink bottle, this Garnacha rosé opens with prickly pink-grapefruit ...",87,$14
Donnafugata 2012 Ben Ryé  (Passito di Pantelleria),"Made with 100% dried Zibibbo grapes, this generous dessert wine offers aromas ...",93,$45
Bodegas Tintoralba 2011 Tintorera Higueruela Garnacha (Almansa),"Minty, candied, wet-dog aromas announce that this is a young, basic wine. ...",82,$12
Celler Arché Pagès 2007 Bonfill Red (Empordà),"This wine smells baked and rasiny, and the bouquet brings charcoal and ...",87,$45
Avennia 2014 Sestina Red (Columbia Valley (WA)),"Coming from older vine plantings at Dionysus, Red Willow, Boushey and Bacchus ...",91,$65
Garage Wine Co. 2014 Lot #55 Sauzal Vineyard Carignan-Garnacha-Mataró Field-Blend Red (Maule Valley),Ripe jammy aromas of red currants and berries set up a linear-feeling ...,91,$39
Finca Tobella 2006 Selecció Especial Red (Priorat),"There are many things to love about this blend of Carignan, Garnacha ...",92,$46
Fig 2010 Pinot Noir (Santa Maria Valley),"Created by Joshua Klapper, the fine winemaker at La Fenetre, for Santa ...",92,$34
Cleto Chiarli 2016 Vecchia Modena Premium  (Lambrusco di Sorbara),"Violet, wild rose and woodland berry aromas lead the nose in this ...",91,$16
Medici Ermete NV Le Tenute Bocciolo  (Lambrusco Grasparossa di Castelvetro),This lightly sparkling Lambrusco delivers a deep purple color with aromas of ...,83,
Demarie NV Birbet Brachetto (Piedmont),"This sweet, sparkling Rosato opens with fresh tones of raspberry and blueberry ...",83,$17
Philip Carter 2010 1762 Red (Virginia),Made from the Chambourcin grape and aged in Bourbon barrels from the ...,83,$38
Prima Mazzo 2011 Brachetto (Piedmont),Brachetto is an easy dessert wine with a mild ruby color and ...,83,$13
Casal da Coelheira 2016 White (Tejo),"It is the Verdelho that gives this wine its attractive, perfumed character. ...",85,$10
Terra Silvestre 2015 Red (Tejo),"Blending Touriga Franca, Syrah and Alicante Bouschet, this is an attractive young ...",85,$15
Casa de Cambres 2015 Colheita Red (Douro),With the smooth Touriga Franca and Tinta Roriz making up the body ...,85,$12
Ferrocinto 2015 Pollino Bianco Mantonico (Calabria),"Made entirely with Montonico, this has subdued aromas of white peach, pear ...",85,
Lionel Osmin & Cie 2014 Ekigaïna (Vin de France),"Part of a new range from this producer featuring rare grapes, this ...",85,
Lionel Osmin & Cie 2016 Villa la Vie en Rose Rosé (Vin de France),"Made from the Négrette grape found in Fronton near Toulouse, this wine ...",85,$11
Bernard et Christophe Richel 2016 Apremont Jacquère (Vin de Savoie),This wine is crisp with refreshing acidity and fine lemon and grapefruit ...,85,$15
Sawtooth 2012 Estate Grown Pinot Gris,"Fermented and aged in stainless steel, this is a direct and appealing ...",87,$12
Domaine du Moulin 2013 Brut Méthode Ancestrale Mauzac (Gaillac),"This is an apple-fresh sparkling wine with a lively mousse. It crisp, ...",87,$19
Grafen Neipperg 2013 Halbtrocken Muskateller (Württemberg),"Muskateller is a powerhouse Muscat grape, chock full of buoyant stone fruit, ...",87,$26
Stadlmann 2013 Kapellenweg Gelber Muskateller (Niederösterreich),"A faint hint of apricot and a ripe, deep core of red-cheeked ...",90,
Borra 2012 Intuition Field Blend White (Lodi),"Another of Borra''s inventive blends, this one brings together 60% Kerner, 20% ...",90,$22
Adelsheim 2009 Ribbon Springs Vineyard Auxerrois (Ribbon Ridge),"Auxerrois, a cross between Pinot Noir and Gouais Blanc, creates an aromatic, ...",89,$22
Vaeni 2006 Aamackhnoc Xinomavro (Naoussa),"This red is a hunting lodge in a glass, with aromas of ...",84,$25
Peloton 2011 Jesperson Ranch Albariño (Edna Valley),Albariño is very sensitive to the slightest usage of oak. Although this ...,84,$27
Tselepos 2011 Driopi Agiorgitiko Rosé (Peloponnese),"Flavors of rose petal, cherry and a touch of spice characterize this ...",84,$15
Newhouse Family 2013 Cottontop Aligoté (Snipes Mountain),This rare bottling of this variety displays aromas of pear and spice ...,87,$36
Chandler Reach 2012 Patio Red (Yakima Valley),"Made with 75% Sangiovese, with the rest Cabernet Sauvignon and Barbera, this ...",86,$12
Giuseppe Cortese 2012  Dolcetto d'Alba,This succulent wine opens with an intensely spicy nose of white and ...,88,$20
Tenuta Monte Gorna 2015 Bianco  (Etna),"Made with 60% Carricante and 40% Catarratto, this opens with aromas acacia ...",90,
Undurraga 2015 T.H. Terroir Hunter Rarities País-Cinsault La Soledad Red (Cauquenes Valley),"On first take, this small-batch blend of País and Cinsault is overtly ...",90,$30
Westwood 2014 Legend Annadel Gap Vineyard Estate Grown Red (Sonoma Valley),"This is an unusually perfumed commingling of varieties not always seen together, ...",92,$65
Castello di Gabbiano 2006 Bellezza Sangiovese Grosso (Toscana),Bellezza is indeed a beautiful expression of Sangiovese (aged in oak) that ...,91,$35
John Duval Wines 2011 Plexus G-S-M (Barossa Valley),"This wine''s plum, mocha and cedar notes are carried by ample body ...",90,$40
Segal's 2009 Dovev Single Vineyard Argaman (Galil),This bold red made from Argaman—a cross between Souzão and Carignan—offers upfront ...,86,$38
Boutari 2007 Grand Reserve Xinomavro (Naoussa),"Toasted nut, rhubarb, pepper and spice box aromas abound on the nose ...",86,$27
Contino 2012 Blanco White (Rioja),Not many white Riojas reach these heights. This youthful Garnacha Blanca opens ...,91,$48
Agrinatura 2008 Red (Puglia),"This is a strange wine from Puglia, in Southern Italy, with drying ...",84,$12
Selvanova 2012 Acquavigna Pallagrello Bianco (Terre del Volturno),This savory wine is made with the native Pallagrello Bianco grape that's ...,88,$24
Sierra Norte 2012 Temperamento Bobal (Utiel-Requena),"Earthy, muddled berry aromas are suggestive of prune and raisin. This is ...",85,$16
Valter Sirk 2010 Malvazija Malvasia Istriana (Goriska Brda),A musky white-flower note melds into savory notes of hazelnut oil and ...,87,$30
Bastianich 2010 Adriatico Malvasia Istriana (Istria),"Though aromatically subdued, there''s an intensity of tangerine and lime zest flavor ...",87,$16
Murfatlar 2011 Zestrea Demisec Feteascǎ Regalǎ (Murfatlar),Hints of sun-dried hay and honey add rustic charm to crisp yellow-peach ...,87,$11
Viticultori Associati Canicatti 2008 Calìo Red (Sicilia),"A cheerful blend of Nero d''Avola and Nerello Cappuccio, Calìo would pair ...",86,
Wind Rose 2009 Bravo Rosso Red (Washington),This is Primitivo-Barbera blend with dabs of Nebbiolo and Dolcetto in the ...,86,$18
Sierra Cantabria 2012 Organza White (Rioja),"Dusty and leesy on the nose, this blend of Viura, Malvasia and ...",88,$28
Siegel 2013 Reserva 1234 Red (Colchagua Valley),"Slightly murky, earthy aromas of tree bark and baked fruits are herbal ...",87,$15
Strauss 2014 Gamlitzberg Gelber Muskateller (Südsteiermark),"Summer blossom, honeysuckle, even rose petals appear on the aromatic nose. The ...",87,$24
Leth 2016 Roter Veltliner (Wagram),Wonderfully ripe and pure red and green apple notes rise from the ...,90,$25
Mumm Napa 2010 Blanc de Blancs Oak Barrel Aged Sparkling (Napa Valley),This tartly acid-driven effort from Mumm includes Chardonnay and Pinot Gris. Honeyed ...,90,$46
Girardet 2012 Baco Noir (Umpqua Valley),This rarely seen variety (a hybrid from a cross of a French ...,84,$28
Abbazia di Novacella 2013 Müller-Thurgau (Alto Adige Valle Isarco),"Pretty aromas of white flower, alpine herb and a whiff of citrus ...",88,$20
Bottega Vinaia 2012 Teroldego (Trentino),"Deeply pigmented and plush, this wine opens with fruity aromas of dark ...",88,$18
Bouza 2011 Reserva Tempranillo-Tannat (Montevideo),Rubbery aromas of plum and wild berry turn toward earthy with airing. ...,88,$20
Cave du Vin Blanc de Morgex et de la Salle 2011 Extreme Metodo Classico Prié Blanc (Valle d'Aosta),Made with native grape Prié blanc grown in high vineyards in Valle ...,88,$28
Cave du Vin Blanc de Morgex et de la Salle 2013 Vini Estremi Blanc de Morgex e de La Salle Prié Blanc (Valle d'Aosta),"Aromas of white flower, citrus, pineapple, crushed rock and tinge of medicinal ...",88,$22
Mas Igneus 2012 Barranc dels Closos White (Priorat),"Dusty notes and beeswax aromas dominate this wine, which is 90% Garnacha ...",88,$25
Nals Margreid 2013 Rieser St. Magdalener Red (Alto Adige),This blend of 95% Schiava and 5% Lagrein offers aromas of red ...,88,$19
Poggio Argentiera 2013 Bellamarsilia  (Morellino di Scansano),"Made with 85% Sangiovese and 15% Ciliegiolo, this vibrant wine doles out ...",88,$18
Bellwether 2014 Dry Rosé (Finger Lakes),A shock of sour cherry and pink grapefruit flavors penetrates through this ...,88,$16
Sattlerhof 2014 Gamlitzer Morillon (Südsteiermark),"Fresh, enticing notes of grass and nettle meet with freshly cut slices ...",88,$25
Talamonti 2014 Trabocchetto Pecorino (Colline Pescaresi),"Made with the up-and-coming Pecorino grape, this savory wine opens with a ...",88,$19
Chateau St. Jean 2013 La Petite Etoile Vineyard Fumé Blanc (Russian River Valley),"A relatively tiny offering from the winery, this white showcases a 44-acre ...",88,$22
Firriato 2008 Quater Red (Sicilia),"Quater is an innovative blend of Nero d''Avola, Perricone, Frappato and Nerello ...",91,$32
Jada Vineyard & Winery 2014 WCS Jack John Red (Paso Robles Willow Creek District),Plush black-currant aromas meet with light licorice and a plum-pudding note on ...,94,$75
Alta Colina 2013 Toasted Slope Estate Syrah (Adelaida District),"Roasted and raw beef, dried strawberry, crushed marjoram and salt-and-pepper seasonings show ...",94,$48
Anakena 2013 Ona Special Reserve Riesling-Chardonnay-Viognier White (Leyda Valley),"Honey blossom and grassy aromas are all right, but struggle to offer ...",84,$17
Hidalgo NV Vino Dulce Natural Pedro Ximénez (Jerez),"Ultraconcentrated and almost heavy on the nose, but not fully syrupy or ...",91,$14
Ernie Els 2014 Proprietor's Red (Stellenbosch),"This blend of 60% Cabernet Sauvignon, 20% Shiraz, 5% Merlot, 5% Cabernet ...",90,$38
Laurent-Perrier NV Cuvée Rosé Brut  (Champagne),This dark-colored Champagne is made by skin maceration. It comes from premier ...,91,$100
Tre Nova 2010 Nebbaro Red Barbera-Nebbiolo (Columbia Valley (WA)),"The blend is 51% Nebbiolo and 49% Barbera. It''s aromatically intriguing, with ...",87,$30
Lionel Osmin & Cie 2013 Villa Grand Cap White (Vin de France),"A typical Gers blend of Colombard, Sauvignon Blanc and Gros Manseng from ...",86,$12
Stanburn 2011 Poorhouse Chambourcin (Virginia),"Notes of purple flowers, brown spices and wild berries surface on the ...",84,$16
Calendar Girl 2011 Buxom Blonde White (Columbia Valley (WA)),"This simple, rich white wine features a cheesecake graphic on the label, ...",84,$15
Borra 2012 Artist Series White (Lodi),"Borra winemaker Markus Niggli, a Swiss native, has gone back to his ...",89,$18
Fattoria di Corsignano 2012  Chianti Classico,"Made with Sangiovese, 5% Canaiolo and Malvasia Nera, this offers earthy aromas ...",90,$24
Santa Ema 2012 Catalina Red (Maipo Valley),Full-volume cherry and cassis are in the lead on the nose. This ...,90,$50
Gordonzello 2007 Peregrino Roble Prieto Picudo (Tierra de León),"Opens with aromas of burnt leaves, roasted bell pepper and tomato and ...",86,$19
Tasca d'Almerita 2010 Regaleali White (Sicilia),"This fresh and easy Sicilian white is a blend of Insolia, Grecanico ...",85,$10
Tenuta Barone Nicolò La Lumia 2010 Gloria Insolia (Sicilia),"Here''s an easy expression of Insolia that opens with citrus, kiwi and ...",85,
Rosa d'Oro NV Omaggio White (California),"A rich golden color, mild peach and herbal aromas and rather savory, ...",87,$16
Prager NV Noble Companion 10-Year-Old Tawny Port (Napa Valley),"This is made from a majority of Touriga Nacional, with smaller amounts ...",94,$80
Statti 2014 Gaglioppo (Calabria),Red berry and intense white pepper aromas lead the nose on this ...,87,$19
Anakena 2012 Ona Special Reserve Chardonnay-Viognier-Riesling White (Leyda Valley),Oaky aromas have a lacquer-like scent that dissipates into sawdust if given ...,84,$19
Clara Marcelli 2012 Raffa  (Offida Passerina),"Made with organically farmed grapes, this opens with tutti-frutti aromas that recall ...",84,$18
Mongarda NV Col Fondo Glera (Colli Trevigiani),"Citrus, Alpine herb and green-apple aromas carry through to the vibrant linear ...",91,$15
Coffele 2015 Le Sponde  (Recioto di Soave Classico),"This opens with aromas of dried yellow peach, white flower and ripe ...",91,$43
Boeckel 2015 Zotzenberg Grand Cru Sylvaner (Alsace),Shy but very pure notes of ripe juicy pear and fresh ripe ...,91,$40
Chambers Rosewood Vineyards NV Muscadelle Tokay (Rutherglen),"Made mistelle fashion, with fortification taking place prior to fermentation to help ...",86,$15
Castellroig NV Brut Rosat Sparkling (Cava),"Smooth and simple stuff. It''s quite fresh and clean, with more citrus ...",86,$18
Viña Bisquertt 2013 Missing Rosé (Curicó Valley),"This salmon-colored rosé is made from the País grape, a.k.a. the Mission ...",83,$15
Masi 2006 Modello delle Venezie Rosato Rosé (Venezie),"There''s a green, brambly quality to this rosé that is enhanced by ...",84,$10
Domaine Céline et Frédéric Gueguen 2014 Cépage Confidentiel  (Coteaux Bourguignons),There are only a handful of acres of this Vitis vinifera vine ...,86,
Campolargo 2012 Branco Barrica Bical (Bairrada),"The Bical grape is often found in Bairrada''s sparkling wines. Here, aged ...",86,$28
José Maria da Fonseca 2014 Colecção Privada Roxo Rosé (Península de Setúbal),"A light, bright and fresh wine, the epitome of a fruity rosé, ...",86,
Cantine Sant'Agata 2007 'Na Vota  (Ruché di Castagnole Monferrato),‘Na Vota is a fresh and easygoing wine that is vinified in ...,85,$18
Occhipinti 2014 Frappato (Terre Siciliane),"This earthy red opens with funky but appealing aromas of tilled soil, ...",91,
Peltier 2010 Schatz Family Reserve Teroldego (Lodi),"A very deep color, unusually concentrated flavors and a thick blanket of ...",91,$60
Greek Wine Cellars 2014 Assyrtico (Santorini),"Alluring aromas of ripe peach, grapefruit and lemon lead this stylish white. ...",91,$20
Johannishof 2014 Johannisberg V Kabinett Riesling (Rheingau),Pink grapefruit and peach nectar flood the palate of this intensely concentrated ...,91,$24
Boutari 2010 Kallisti Reserve Assyrtico (Santorini),"The nose on this wine is exotic, offering smoke, vanilla, lemon curd ...",87,$30
Cottanera 2013 Barbazzale Bianco White (Sicilia),Here's a pretty blend of 50% Inzolia and 50% Viognier that has ...,87,$15
Donnafugata 2013 Lighea Zibibbo (Terre Siciliane),Here's a dry version of the Zibibo grape that opens with intense ...,87,$23
Duca di Salaparuta 2013 Calanica White (Terre Siciliane),"A blend of Insolia and Chardonnay, this wine opens with subdued aromas ...",87,$15
Feudo Principi di Butera 2013 Insolia (Sicilia),"Crisp and light-bodied, this refreshing Insolia offers honeysuckle, exotic fruit and bright ...",87,$17
Sorrentino 2012 Frupa Piedirosso (Pompeiano),"Made with the native grape Piedirosso, this opens with aromas of red ...",87,$32
Thymiopoulos 2011 Uranos Xinomavro (Naoussa),"Plum, spice and cedar lead this spicy red. The wine offers bright ...",87,$26
Villa Matilde 2012 Cecubo Red (Roccamonfina),"A blend of Primitivo, Piedirosso and other native grapes and made with ...",87,$37
Kracher 2012 Zwischen den Seen Nr. 7 Trockenbeerenauslese Welschriesling (Burgenland),"The musky notes of unfettered botrytis are on full display here, bringin ...",94,$46
McPherson 2015 Timmons Ranch Piquepoul Blanc (Texas),It's not often you find a varietal Piquepoul Blanc outside of the ...,88,$13
Murphy-Goode 2012 All In Claret (Alexander Valley),"This is a blend of 54% Cabernet Sauvignon, 42% Merlot and 4% ...",88,$24
Shumi Winery 2013 Tsinandali White (Kakheti),"A blend of Rkatsiteli and Mtsvane, this light-straw-colored wine has aromas of ...",88,$13
Fattoria Alois 2009 Caiatì Pallagrello (Campania),Caiatì is an interesting and unique expression of Pallagrello that does an ...,87,
Neil Ellis 2009 The Left Bank Red (Western Cape),"A blend of 47% Cabernet Sauvignon, 35% Shiraz, 14% Merlot, 3% Cabernet ...",87,$15
Neyen 2013 Carmenère-Cabernet Sauvignon (Colchagua Valley),"Complex, integrated aromas of cola, herbal berry fruits, earth and oak are ...",92,$66
Quinta do Perdigão 2009 Red (Dão),"Piled high with tannins, José Perdigão''s dark, firm wine is structured and ...",92,$40
Briceland 2016 Spirit Canyon Vineyard Arneis (Mendocino County),Great balance and a charming lighter character make this lightly floral wine ...,92,$21
Clos Haut-Peyraguey 2014 Symphonie  (Sauternes),"Rich and dense, this generous wine has considerable botrytis as well as ...",92,$29
Vestini Campagnano 2012 Concarosso Red (Galluccio),This robust blend of 85% Aglianico and 15% Pallagrello Nero has aromas ...,87,
Parés Baltà 2013 Calcari Xarel-lo (Penedès),"There''s a briny note to the nose on this Xarel-lo, and otherwise ...",87,$20
Producta Vignobles 2013 Mission St Vincent  (Bordeaux Blanc),"The wine balances acidity and full fruitiness. These show in the lively, ...",90,$26
Robert Gilliard 2012 Dôle des Monts Pinot Noir-Gamay (Valais),"A Swiss blend of Pinot Noir and Gamay, this delightful wine has ...",90,$30
Santa Monica 2004 Late Harvest White (Rapel Valley),This attractive blend of 53% Sémillon and 47% Riesling offers a bouquet ...,88,$17
Cusumano 2011 Angimbé White (Sicilia),"A blend of Insolia and Chardonnay, this opens with a light golden ...",88,$17
Pepi 2011 Chenin Blanc-Viognier (California),This is a blend of Chenin Blanc and Viognier that's zesty in ...,86,$10
Valle dell'Acate 2011 Case Ibidini Insolia (Sicilia),"A simple citrus aroma provides for a fresh and inviting bouquet. Peach, ...",86,$15
Domaine du Moulin NV Methode Ancestrale Brut Mauzac (Gaillac),"Dry, bright and aromatic, this has notes of fresh apple and crisp ...",86,$15
Georges Vigouroux 2011 Pigmentum Ugni Blanc-Colombard (Côtes de Gascogne),"This is properly fresh and fruity, with delicious herb and ripe apricot ...",86,$12
Poderi Angelini 2010 Susumaniello (Tarantino),Susumaniello is symbolic of the rise of southern Italy's little-known indigenous grapes. ...,86,$20
Wohlmuth 2012 Steinriegl Gelber Muskateller (Südsteiermark),"This is a fragrant, brightly perfumed wine that has a wonderfully crisp ...",86,
Fernández Gómez 2012 Selección Familia White (Rioja),Apple and mineral aromas are fresh yet simple in nature. This offers ...,86,$17
Ignacio Marín 2012 Marín Old Vine Garnacha (Cariñena),"Ripe raisin, vanilla, tobacco and cassis aromas are more than adequately oaked. ...",89,$18
Villa Yustina 2012 Monogram Mavrud and Rubin Red (Thracian Valley),"A blend of 60% Mavrud and 40% Rubin, this ruby-colored wine has ...",89,$26
Budureasca 2013 Origini Reserve Red (Dealu Mare),"This blend of Shiraz, Cabernet Sauvignon, and Merlot has aromas of cherry, ...",89,$18
Duchessa Lia NV Spumante Dolce  (Brachetto d'Acqui),"A more serious Brachetto than many, with raspberry, tangerine, and peach fruit ...",84,$17
Georges Vigouroux 2014 Pigmentum Ugni Blanc-Colombard (Côtes de Gascogne),"This classic blend from the Gascony region is crisply fresh and light, ...",86,$12
Lyrarakis 2014 Petrokaliva Vineyard Assyrtico (Crete),Spicebox and lemon aromas start this assertive Assyrtiko from Crete. On the ...,86,$25
Vodopivec 2006 Classica Vitovska (Venezia Giulia),"Made in amphorae made from Georgian clay, this “Classica” expression of the ...",91,$85
Domaine de l'Idylle 2015 Arbin Mondeuse (Savoie),"This wine has bright black-currant fruit and some firm tannins. Crisp, it''s ...",88,$22
El Enemigo 2014 Bonarda (Mendoza),"Grapy and floral smelling up front, this Bonarda smells reduced. A tight, ...",88,$28
Bailly-Lapierre NV Rosé Brut  (Crémant de Bourgogne),This light-pink-colored blend of Pinot Noir with a touch of Gamay is ...,87,$25
Leonard Kreusch 2013 Dornfelder (Rheinhessen),Menthol and savory herbs juxtapose rich black cherry and berry flavors in ...,85,$12
Gaia Wines 2014 Thalassitis Oak Fermented Assyrtiko (Santorini),"White flowers, lemon peel and vanilla lead this elegant white. Though the ...",89,$36
Greek Wine Cellars 2015 Assyrtico (Santorini),"Grapefruit, lemon and star anise aromas lead this refined but friendly wine. ...",89,$20
Tenute Soletta 2010 Keramos Riserva  (Cannonau di Sardegna),"This full-bodied red opens with aromas of ripe plum, vanilla and a ...",89,$49
Bodkin 2014 Musqué Clone Sauvignon Blanc (Russian River Valley),"Crisp, dry and searing in acidity, this 100% varietal wine is complex, ...",91,$22
Feudi di San Gregorio 2008 Sirica Red (Campania),Sirica is a newly discovered grape variety that is said to have ...,92,
D'Arenberg 2008 The Ironstone Pressings Grenache-Shiraz-Mourvèdre Red (McLaren Vale),This Grenache-based blend derives considerable structure from its Shiraz (38%) and Mourvèdre ...,92,$65
Tacama 2010 Gran Blanco White (Ica),Apple and citrus aromas struggle to hold it together. Citrusy acids control ...,82,$10
Dilao 2015 Saperavi (Kakheti),"Deep garnet in the glass, this wine offers a tight nose of ...",90,$15
Quinta das Marias 2015 Alfrocheiro (Dão),The grape that is very local to the Dão region has produced ...,90,$24
Quinta de Soalheiro 2016 Allo Loureiro-Alvarinho White (Minho),The blend of Vinho Verde's two top grapes brings out great swathes ...,90,$15
Vinkara 2013 Reserve Kalecik Karasi (Ankara),"Offering aromas of black cherry and vanilla, this wine is soft on ...",90,$27
Terlan 2013 Porphyr Riserva Lagrein (Alto Adige),"This 100% Lagrein boasts alluring aromas of blackberry, tilled earth and a ...",91,$70
Tiefenbrunner 2015 Feldmarschall Müller-Thurgau (Alto Adige),"Made entirely with Müller-Thurgau grown in high mountain vineyards, this opens with ...",91,$40
Rockroom Winemaking Cooperative 2008 Lone Oak Vineyard Pinot Noir (Santa Lucia Highlands),"There are lush, profound flavors of cherries, red currants, licorice, bacon and ...",87,$44
Château Labastidié 2014 White (Gaillac),A blend of Loin de l'Oeil and Sauvignon Blanc has produced a ...,88,$14
Nemeion Estate 2005 Hgemon Grand Réserve Agiorgitiko (Nemea),"This is a straightforward but tasty red with a nose of vanilla, ...",88,$66
Graci 2012 Arcurìa Bianco  (Etna),"Made with 100% native grape Carricante, this offers delicate aromas of honeysuckle, ...",90,$40
